NAME,IATA
Sekakes Airport,SKQ
Semonkong Airport,SOK
Seshutes Airport,SHZ
Thaba-Tseka Airport,THB
Tlokoeng Airport,TKO
Ai-Ais Airport,AIW
Arandis Airport,ADI
Gobabis Airport,GOG
Grootfontein Airport,GFY
Halali Airport,HAL
Karasburg Airport,KAS
Katima Mulilo Airport,MPA
Keetmanshoop Airport,KMP
Lianshulu Airport,LHU
Luderitz Airport,LUD
Mount Etjo Airport,MJO
Midgard Airport,MQG
Mokuti Lodge Airport,OKU
Namutoni Airport,NNI
Ondangwa Airport,OND
Omega Airport,OMG
Oranjemund Airport,OMD
Okaukuejo Airport,OKF
Opuwa Airport,OPW
Oshakati Airport,OHI
Otjiwarongo Airport,OTJ
Rundu Airport,NDU
Skorpion Mine Airport,RHN
Swakopmund Airport,SWP
Sesriem Airstrip,SZM
Terrace Bay Airport,TCY
Tsumeb Airport,TSB
Walvis Bay Airport,WVB
Eros Airport,ERS
Hosea Kutako International Airport,WDH
Ndjili International Airport,FIH
Ndolo Airport,NLO
Muanda Airport,MNB
Boma Airport,BOA
Luozi Airport,LZI
Tshimpi Airport,MAT
N'Kolo-Fuma Airport,NKL
Inongo Airport,INO
Nioki Airport,NIO
Bandundu Airport,FDU
Basango Mboliasa Airport,KRZ
Kikwit Airport,KKW
Idiofa Airport,IDF
Lusanga Airport,LUS
Masi Manimba Airport,MSM
Mbandaka Airport,MDK
Basankusu Airport,BSU
Libenge Airport,LIE
Gbadolite Airport,BDT
Gemena Airport,GMA
Kotakoli Airport,KLI
Bumbar Airport,BMB
Lisala Airport,LIQ
Boende Airport,BNB
Ikela Airport,IKL
Bangoka International Airport,FKI
Yangambi Airport,YAN
Matari Airport,IRP
Bunia Airport,BUX
Buta Zega Airport,BZU
Bukavu Kavumu Airport,BKY
Rughenda Airfield,RUE
Goma International Airport,GOM
Beni Airport,BNC
Kindu Airport,KND
Kinkungwa Airport,KLY
Punia Airport,PUN
Lubumbashi International Airport,FBM
Pweto Airport,PWO
Kasenga Airport,KEC
Kolwezi Airport,KWZ
Manono Airport,MNO
Moba Airport,BDV
Kalemie Airport,FMI
Kabalo Airport,KBO
Kongolo Airport,KOO
Kamina Base Airport,KMN
Kapanga Airport,KAP
Kaniama Airport,KNM
Kananga Airport,KGA
Luiza Airport,LZA
Tshikapa Airport,TSH
Lodja Airport,LJA
Lusambo Airport,LBO
Mweka Airport,MEW
Basongo Airport,BAN
Ilebo Airport,PFR
Mbuji Mayi Airport,MJM
Gandajika Airport,GDJ
Tunta Airport,KBN
Akieni Airport,AKE
Gamba Airport,GAX
Gabbs Airport,GAB
Modibo Keita International Airport,BKO
Goundam Airport,GUD
Gao Airport,GAQ
Kenieba Airport,KNZ
Koutiala Airport,KTX
Kayes Dag Dag Airport,KYS
Mopti Airport,MZI
Nara Airport,NRM
Nioro du Sahel Airport,NIX
Sikasso Airport,KSS
Timbuktu Airport,TOM
Y?Ÿ??liman?Ÿ?? Airport,EYL
Guasopa Airport,GAZ
Dornoch Airfield,DOC
Flotta Isle Airport,FLH
Foula Airfield,FOA
Outer Skerries Airport,OUK
Papa Stour Airport,PSV
Garbaharey Airport,GBM
Banjul International Airport,BJL
Fuerteventura Airport,FUE
La Gomera Airport,GMZ
Hierro Airport,VDE
La Palma Airport,SPC
Gran Canaria Airport,LPA
Lanzarote Airport,ACE
Tenerife South Airport,TFS
Gravatai Airport,GCV
Tenerife Norte Airport,TFN
Melilla Airport,MLN
Gewoia Airport,GEW
Sherbro International Airport,BTE
Bo Airport,KBS
Pope Field,GFD
Gbangbatok Airport,GBK
Hastings Airport,HGS
Kabala Airport,KBA
Kenema Airport,KEN
Lungi International Airport,FNA
Yengema Airport,WYE
Bubaque Airport,BQE
Osvaldo Vieira International Airport,OXB
Garachin?Ÿ?? Airport,GHE
Buchanan Airport,UCN
Cape Palmas Airport,CPA
Greenville Sinoe Airport,SNI
Spriggs Payne Airport,MLW
Nimba Airport,NIA
Gulgubip Airport,GLP
Roberts International Airport,ROB
Sasstown Airport,SAZ
Tchien Airport,THC
Voinjama Airport,VOI
Al Massira Airport,AGA
Tan Tan Airport,TTA
Zagora Airport,OZG
Bouarfa Airport,UAR
Sa?Ÿ??ss Airport,FEZ
Moulay Ali Cherif Airport,ERH
Bassatine Airport,MEK
Angads Airport,OUD
Smara Airport,SMW
Ben Slimane Airport,GMD
Beni Mellal Airport,BEM
Rabat-Sal?Ÿ?? Airport,RBA
Sidi Ifni Xx Airport,SII
Dakhla Airport,VIL
Mogador Airport,ESU
Hassan I Airport,EUN
Mohammed V International Airport,CMN
Safi Airport,SFI
Nador International Airport,NDR
Menara Airport,RAK
Kenitra Airport,NNA
Ouarzazate Airport,OZZ
Golog Maqin Airport,GMQ
Cherif Al Idrissi Airport,AHU
Saniat R'mel Airport,TTU
Ibn Batouta Airport,TNG
Goodnews Airport,GNU
Blaise Diagne International Airport,DSS
Gora Airstrip,GOC
Kolda North Airport,KDA
Ziguinchor Airport,ZIG
Cap Skirring Airport,CSK
Kaolack Airport,KLC
L?Ÿ??opold S?Ÿ??dar Senghor International Airport,DKR
Ouro Sogui Airport,MAX
Podor Airport,POD
Richard Toll Airport,RDT
Saint Louis Airport,XLS
Bakel Airport,BXE
K?Ÿ??dougou Airport,KGG
Simenti Airport,SMY
Tambacounda Airport,TUD
Aioun el Atrouss Airport,AEO
Boutilimit Airport,OTL
Tichitt Airport,THI
Tidjikja Airport,TIY
Abbaye Airport,BGH
Kiffa Airport,KFA
Timbedra Airport,TMD
N?Ÿ??ma Airport,EMN
Akjoujt Airport,AJJ
Ka?Ÿ??di Airport,KED
Letfotar Airport,MOM
Nouakchott?›????Oumtounsy International Airport,NKC
S?Ÿ??libaby Airport,SEY
Tamchakett Airport,THT
Atar International Airport,ATR
Fderik Airport,FGD
Nouadhibou International Airport,NDB
Tazadit Airport,OUZ
Grand Cess Airport,GRC
Granite Mountain Air Station,GMT
Chiquimula Airport,CIQ
Dos Lagunas Airport,DON
El Naranjo Airport,ENJ
Paso Caballos Airport,PCG
El Pet?Ÿ??n Airport,TKM
Uaxactun Airport,UAX
Playa Grande Airport,PKJ
Kirawira B Aerodrome,GTZ
Conakry International Airport,CKY
Guriaso (Keraso) Airport,GUE
Fria Airport,FIG
Faranah Airport,FAA
Kissidougou Airport,KSI
Tata Airport,LEK
Macenta Airport,MCA
Nz?Ÿ??r?Ÿ??kor?Ÿ?? Airport,NZE
Bok?Ÿ?? Baralande Airport,BKJ
Sambailo Airport,SBI
Siguiri Airport,GII
Kankan Airport,KNN
Am?Ÿ??lcar Cabral International Airport,SID
Agostinho Neto Airport,NTO
Rabil Airport,BVC
Gordonsville Municipal Airport,GVE
Maio Airport,MMO
Mosteiros Airport,MTI
Praia International Airport,RAI
S?Ÿ?œo Filipe Airport,SFL
Pregui?Ÿ??a Airport,SNE
S?Ÿ?œo Pedro Airport,VXE
Bemichi Airport,BCG
Botopasi Airport,BTO
Djumu-Djomoe Airport,DOE
Ladouanie Airport,LDO
Washabo Airport,WSO
Addis Ababa Bole International Airport,ADD
Arba Minch Airport,AMH
Axum Airport,AXU
Baco Airport,BCO
Bahir Dar Airport,BJR
Beica Airport,BEI
Combolcha Airport,DSE
Dembidollo Airport,DEM
Debra Marcos Airport,DBM
Aba Tenna Dejazmach Yilma International Airport,DIR
Debre Tabor Airport,DBT
Fincha Airport,FNH
Robe Airport,GOB
Ghinnir Airport,GNN
Gambella Airport,GMB
Gonder Airport,GDQ
Gode Airport,GDE
Gore Airport,GOR
Harar Meda Airport,QHR
Humera Airport,HUE
Wilwal International Airport,JIJ
Jimma Airport,JIM
Kabri Dehar Airport,ABK
Kelafo East Airport,LFO
Awassa Airport,AWA
Lalibella Airport,LLI
Mekane Selam Airport,MKS
Mekele Airport,MQX
Metema Airport,ETE
Mendi Airport,NDM
Mui River Airport,MUJ
Mizan Teferi Airport,MTF
Negele Airport,EGL
Nejjo Airport,NEJ
Nekemte Airport,NEK
Beles Airport,PWI
Soddu Airport,SXU
Shakiso Airport,SKR
Semera Airport,SZE
Asosa Airport,ASO
Tippi Airport,TIE
Waca Airport,WAC
Warder Airport,WRA
Haycock Airport,HAY
Hatzfeldhaven Airport,HAZ
Bujumbura International Airport,BJM
Gitega Airport,GID
Kirundo Airport,KRE
Qilian Airport,HBQ
Alula Airport,ALU
Baidoa Airport,BIB
Candala Airport,CXN
Bardera Airport,BSY
Eil Airport,HCM
Bosaso Airport,BSA
Gardo Airport,GSR
Egal International Airport,HGA
Berbera Airport,BBO
Lugh Ganane Airport,LGX
Kisimayu Airport,KMU
Aden Adde International Airport,MGQ
Beletwene Airport,BLW
Obbia Airport,CMO
Galcaio Airport,GLK
Scusciuban Airport,CMS
Erigavo Airport,ERA
Burao Airport,BUO
Garowe Airport,GGR
Djibouti-Ambouli Airport,JIB
Ali-Sabieh Airport,AII
Moucha Airport,MHI
Obock Airport,OBC
Tadjoura Airport,TDJ
Capital International Airport,CCE
Siwa Oasis North Airport,SEW
El Minya Airport,EMY
Sidi Barrani Airport,SQK
El Alamein International Airport,DBB
El Arish International Airport,AAC
Asyut International Airport,ATZ
El Nouzha Airport,ALY
Borg El Arab International Airport,HBE
Abu Simbel Airport,ABS
Cairo International Airport,CAI
Dakhla Airport,DAK
Hurghada International Airport,HRG
El Gora Airport,EGH
El Kharga Airport,UVL
Luxor International Airport,LXR
Marsa Alam International Airport,RMF
Sohag International Airport,HMB
Mersa Matruh Airport,MUH
Haelogo Airport,HEO
El Oweinat East International Airport,GSQ
Port Said Airport,PSD
St Catherine International Airport,SKV
Sharm El Sheikh International Airport,SSH
Aswan International Airport,ASW
Sphinx International Airport,SPX
Taba International Airport,TCP
El Tor Airport,ELT
Asmara International Airport,ASM
Massawa International Airport,MSW
Assab International Airport,ASA
Tessenei Airport,TES
Princeville Airport,HPV
Lianshui Airport,HIA
Shilavo Airport,HIL
Amboseli Airport,ASV
Healy Lake Airport,HKB
Eldoret International Airport,EDL
Eliye Springs Airport,EYS
Kalokol Airport,KLK
Garissa Airport,GAS
Hola Airport,HOA
Jomo Kenyatta International Airport,NBO
Keekorok Airport,KEU
Kakamega Airport,GGM
Kisumu Airport,KIS
Kilaguni Airport,ILU
Kericho Airport,KEY
Kitale Airport,KTL
Lokichoggio Airport,LKG
Lodwar Airport,LOK
Manda Airstrip,LAU
Loyengalani Airport,LOY
Mandera Airport,NDE
Marsabit Airport,RBT
Malindi Airport,MYD
Mombasa Moi International Airport,MBA
Mara Serena Lodge Airstrip,MRE
Moyale Airport,OYL
Nyeri Airport,NYE
Nakuru Airport,NUU
Nairobi Wilson Airport,WIL
Nanyuki Airport,NYK
Buffalo Spring,UAS
Ukunda Airstrip,UKA
Wajir Airport,WJR
Gardabya Airport,SRX
Gamal Abdel Nasser Airport,TOB
Ghat Airport,GHT
Kufra Airport,AKF
Benina International Airport,BEN
Mitiga Airport,MJI
La Abraq Airport,LAQ
Sabha Airport,SEB
Tripoli International Airport,TIP
Marsa Brega Airport,LMQ
Nafurah 1 Airport,NFR
Hon Airport,HUQ
Ghadames East Airport,LTD
Alzintan Airport,ZIS
Zwara Airport,WAX
Erandique Airport,EDQ
Nhon Co Airfield,HOO
Sary Su Airport,HRC
Gisenyi Airport,GYI
Butare Airport,BTQ
Kigali International Airport,KGL
Ruhengeri Airport,RHG
Kamembe Airport,KME
Atbara Airport,ATB
El Debba Airport,EDB
Dongola Airport,DOG
Damazin Airport,RSS
"Paloich Airport, Heliport",HGI
El Fasher Airport,ELF
Azaza Airport,GSU
Galegu Airport,DNX
Geneina Airport,EGN
Heglig Airport,HEG
Shangjie Airport,HSJ
Kassala Airport,KSL
Khashm El Girba Airport,GBU
Kadugli Airport,KDX
Rumbek Airport,RBX
Merowe New Airport,MWE
En Nahud Airport,NUD
Nyala Airport,UYL
New Halfa Airport,NHF
El Obeid Airport,EBD
Port Sudan New International Airport,PZU
Juba International Airport,JUB
Malakal Airport,MAK
Khartoum International Airport,KRT
Wadi Halfa Airport,WHF
Wad Medani Airport,DNI
Wau Airport,WUU
Zalingei Airport,ZLX
Arusha Airport,ARK
Bukoba Airport,BKZ
Julius Nyerere International Airport,DAR
Dodoma Airport,DOD
Songwe Airport,MBI
Iringa Airport,IRI
Kigoma Airport,TKQ
Kilwa Masoko Airport,KIY
Kilimanjaro International Airport,JRO
Lindi Airport,LDI
Lake Manyara Airport,LKY
Khatgal Airport,HTM
Mafia Island Airport,MFA
Mwadui Airport,MWN
Masasi Airport,XMI
Mpanda Airport,NPY
Moshi Airport,QSI
Mtwara Airport,MYW
Musoma Airport,MUZ
Mwanza Airport,MWZ
Nachingwea Airport,NCH
Njombe Airport,JOM
Pemba Airport,PMA
Seronera Airport,SEU
Songea Airport,SGX
Sumbawanga Airport,SUT
Shinyanga Airport,SHY
Tabora Airport,TBO
Tanga Airport,TGT
Abeid Amani Karume International Airport,ZNZ
Arua Airport,RUA
Entebbe International Airport,EBB
Gulu Airport,ULU
Jinja Airport,JIN
Pakuba Airfield,PAF
Kasese Airport,KSE
Mbarara Airport,MBQ
Masindi Airport,KCU
Soroti Airport,SRT
Tororo Airport,TRY
Hawabango Airport,HWA
Iboki Airport,IBI
Indigo Bay Lodge Airport,IBL
Sicogon Airstrip,ICO
Pulau Panjang Airport,PPJ
"Noto Hadinegoro, Jember Airport",JBB
Blimbingsari Airport,BWX
Aji Pangeran Tumenggung Pranoto International Airport,AAP
Bawean Airport,BXW
Apalapsili Airport,AAS
Anggi Airport,AGD
Gunung Batin Airport,AKQ
Ayawasi Airport,AYW
Boalang Airport,BJG
Batom Airport,BXM
Dabra Airport,DRH
Elelim Airport,ELR
Ewer Airport,EWE
Kornasoren Airfield,FOO
Gag Island Airport,GAV
Ilu Airport,IUL
Karubaga Airport,KBF
Kambuaya Airport,KBX
Kamur Airport,KCD
Kon Airport,KCI
Keisah Airport,KEA
Kiman Airport,KMM
Kotabangun Airport,KOD
Departi Parbo Airport,KRC
Dewadaru Airport,KWB
Kelila Airport,LLN
Lewoleba Airport,LWE
Lunyuk Airport,LYK
Mangunjaya Airport,MJY
Maliana airport,MPT
Masalembo Airport,MSI
Muting Airport,MUF
Banaina Airport,NAF
Obano Airport,OBD
Pomala Airport,PUM
Purwokerto Airport,PWL
Sugimanuru Airport,RAQ
Rokot Airport,RKI
Roti Airport,RTI
Yuruf Airport,RUF
Sawan Airport,RZS
Sangir Airport,SAE
Tumbang Samba Airport,TBM
Tiom Airport,TMY
Senggo Airport,ZEG
Bilogai-Sugapa Airport,UGU
Indagen Airport,IDN
Iamalele Airport,IMA
Inhaminga Airport,IMG
Vijayanagar Aerodrome (JSW),VDY
Jagdalpur Airport,JGB
Neyveli Airport,NVY
Rajouri Airport,RJI
Tezu Airport,TEI
Chinde Airport,INE
Iokea Airport,IOK
Ioma Airport,IOP
Khaneh Airport,KHA
Qeshm International Airport,GSM
New Ishigaki Airport,ISG
Itokama Airport,ITK
Viveros Island Airport,IVI
Jiagedaqi Airport,JGD
Jinchuan Airport,JIC
Jos Orno Imsula Airport,JIO
Qianjiang Wulingshan Airport,JIQ
Comandante Ariston Pessoa Airport,JJD
Quartz Creek Airport,JLA
Josephstaal Airport,JOP
Jiuhuashan Airport,JUH
Animas Air Park,AMK
Broadus Airport,BDX
Eureka Airport,EUE
Jackpot Airport/Hayden Field,KPT
Rolla Downtown Airport,RLA
Elizabeth Field,FID
Humboldt Municipal Airport,HUD
Jefferson County International Airport,TWD
Kayenta Airport,MVM
Columbia County Airport,HCC
Ardmore Downtown Executive Airport,AHD
Grand Canyon West Airport,GCW
Lampson Field,CKE
Montague-Yreka Rohrer Field,ROF
Fremont County Airport,CNE
Cooperstown-Westville Airport,COP
Council Airport,CIL
Iraan Municipal Airport,IRB
Gansner Field,GNF
Chiloquin State Airport,CHZ
St. Mary's County Regional Airport,LTW
Arapahoe Municipal Airport,AHF
Princeton Airport,PCT
Calverton Executive Airpark,CTO
Grand Lake Regional Airport,NRI
Grants Pass Airport,GTP
Jerry Tyler Memorial Airport,NLE
Grand Coulee Dam Airport,GCD
Valle Airport,VLE
Perry-Foley Airport,FPY
Manti-Ephraim Airport,NTJ
Salina Gunnison Airport,SBO
Central Jersey Regional Airport,JVI
Eunice Airport,UCE
Gold Beach Municipal Airport,GOL
Kentland Municipal Airport,KKT
Prentice Airport,PRW
Maverick County Memorial International Airport,EGP
Boulder City Municipal Airport,BLD
Mesquite Airport,MFH
Iosco County Airport,ECA
Florence Municipal Airport,FMU
Anacortes Airport,OTS
Roosevelt Municipal Airport,ROL
Canton Municipal Airport,CTK
North Fork Valley Airport,WPO
Antlers Municipal Airport,ATE
Wilgrove Air Park,QWG
Austin Airport,ASQ
Apalachicola Regional Airport,AAF
Lehigh Valley International Airport,ABE
Abilene Regional Airport,ABI
Albuquerque International Sunport,ABQ
Aberdeen Regional Airport,ABR
Southwest Georgia Regional Airport,ABY
Antrim County Airport,ACB
Nantucket Memorial Airport,ACK
Waco Regional Airport,ACT
California Redwood Coast-Humboldt County Airport,ACV
Atlantic City International Airport,ACY
Lenawee County Airport,ADG
Ada Regional Airport,ADT
Ardmore Municipal Airport,ADM
Addison Airport,ADS
Joint Base Andrews,ADW
Albert Lea Municipal Airport,AEL
Alexandria International Airport,AEX
Karato Airport,KAF
USAF Academy Airfield,AFF
Washington County Airport,WSG
Jaffrey Airport Silver Ranch Airport,AFN
Afton Municipal Airport,AFO
Fort Worth Alliance Airport,AFW
Allegheny County Airport,AGC
Ralph C Weiser Field,AGO
Augusta Regional At Bush Field,AGS
Amedee Army Air Field,AHC
Amery Municipal Airport,AHH
Athens Ben Epps Airport,AHN
Alliance Municipal Airport,AIA
Anderson Municipal Darlington Field,AID
Aiken Regional Airport,AIK
Atlantic Municipal Airport,AIO
George Downer Airport,AIV
Lee C Fine Memorial Airport,AIZ
Colorado Plains Regional Airport,AKO
Akron Fulton International Airport,AKC
Albany International Airport,ALB
Alice International Airport,ALI
Alamogordo White Sands Regional Airport,ALM
St Louis Regional Airport,ALN
Waterloo Regional Airport,ALO
San Luis Valley Regional Bergman Field,ALS
Walla Walla Regional Airport,ALW
Thomas C Russell Field,ALX
Rick Husband Amarillo International Airport,AMA
Gratiot Community Airport,AMN
Ames Municipal Airport,AMW
Anniston Regional Airport,ANB
Anderson Regional Airport,AND
Salida Airport Harriett Alexander Field,SLT
Lee Airport,ANP
Tri State Steuben County Airport,ANQ
Ainsworth Regional Airport,ANW
Anthony Municipal Airport,ANY
Lima Allen County Airport,AOH
Altoona Blair County Airport,AOO
Centennial Airport,APA
Napa County Airport,APC
Naples Municipal Airport,APF
Phillips Army Air Field,APG
A P Hill AAF (Fort A P Hill) Airport,APH
Alpena County Regional Airport,APN
Marion County Brown Field,APT
Apple Valley Airport,APV
Kamulai Airport,KAQ
Acadiana Regional Airport,ARA
Ann Arbor Municipal Airport,ARB
Walnut Ridge Regional Airport,ARG
Wharton Regional Airport,WHT
Aurora Municipal Airport,AUZ
Watertown International Airport,ART
Lakeland-Noble F. Lee Memorial field,ARV
Beaufort County Airport,BFT
Aspen-Pitkin Co/Sardy Field,ASE
Springdale Municipal Airport,SPZ
Boire Field,ASH
Harrison County Airport,ASL
Talladega Municipal Airport,ASN
Astoria Regional Airport,AST
John F Kennedy Memorial Airport,ASX
Ashley Municipal Airport,ASY
Hartsfield Jackson Atlanta International Airport,ATL
Artesia Municipal Airport,ATS
Appleton International Airport,ATW
Watertown Regional Airport,ATY
Augusta State Airport,AUG
Austin Municipal Airport,AUM
Auburn Municipal Airport,AUN
Auburn University Regional Airport,AUO
Austin Bergstrom International Airport,AUS
Wausau Downtown Airport,AUW
Asheville Regional Airport,AVL
Avon Park Executive Airport,AVO
Wilkes Barre Scranton International Airport,AVP
Marana Regional Airport,AVW
Catalina Airport,AVX
West Memphis Municipal Airport,AWM
Algona Municipal Airport,AXG
Chandler Field,AXN
Altus Quartz Mountain Regional Airport,AXS
Neil Armstrong Airport,AXV
Angel Fire Airport,AXX
Waycross Ware County Airport,AYS
Arnold Air Force Base,TUH
Kalamazoo Battle Creek International Airport,AZO
Beale Air Force Base,BAB
Barksdale Air Force Base,BAD
Westfield-Barnes Regional Airport,BAF
Columbus Municipal Airport,CLU
Battle Mountain Airport,BAM
Benson Municipal Airport,BBB
Curtis Field,BBD
Marlboro County Jetport H.E. Avent Field,BTN
Broken Bow Municipal Airport,BBW
Virginia Tech Montgomery Executive Airport,BCB
Bryce Canyon Airport,BCE
Boca Raton Airport,BCT
Baudette International Airport,BDE
Blanding Municipal Airport,BDG
Bradley International Airport,BDL
Igor I Sikorsky Memorial Airport,BDR
Boulder Municipal Airport,WBU
Beech Factory Airport,BEC
Laurence G Hanscom Field,BED
Southwest Michigan Regional Airport,BEH
Bradford Regional Airport,BFD
Western Neb. Rgnl/William B. Heilig Airport,BFF
Boeing Field King County International Airport,BFI
Meadows Field,BFL
Mobile Downtown Airport,BFM
Virgil I Grissom Municipal Airport,BFR
Hutchinson County Airport,BGD
Decatur County Industrial Air Park,BGE
Greater Binghamton/Edwin A Link field,BGM
Bangor International Airport,BGR
Hancock County-Bar Harbor Airport,BHB
Birmingham-Shuttlesworth International Airport,BHM
Block Island State Airport,BID
Beatrice Municipal Airport,BIE
Biggs Army Air Field (Fort Bliss),BIF
Eastern Sierra Regional Airport,BIH
Billings Logan International Airport,BIL
Bismarck Municipal Airport,BIS
Keesler Air Force Base,BIX
Rocky Mountain Metropolitan Airport,BJC
Bemidji Regional Airport,BJI
Wayne County Airport,BJJ
Stephens County Airport,BKD
Baker City Municipal Airport,BKE
Buckley Air Force Base,BFK
Burke Lakefront Airport,BKL
Allen C Perkinson Blackstone Army Air Field,BKT
Raleigh County Memorial Airport,BKW
Brookings Regional Airport,BKX
Mercer County Airport,BLF
Blythe Airport,BLH
Bellingham International Airport,BLI
Monmouth Executive Airport,BLM
Blue Canyon Nyack Airport,BLU
Scott AFB/Midamerica Airport,BLV
Kabwum,KBM
Brigham City Regional Airport,BMC
Monroe County Airport,BMG
Central Illinois Regional Airport at Bloomington-Normal,BMI
Berlin Regional Airport,BML
Beaumont Municipal Airport,BMT
Nashville International Airport,BNA
Banning Municipal Airport,BNG
Barnwell Regional Airport,BNL
Burns Municipal Airport,BNO
Boone Municipal Airport,BNW
Boise Air Terminal/Gowen Field,BOI
General Edward Lawrence Logan International Airport,BOS
Bartow Executive Airport,BOW
Big Spring Mc Mahon-Wrinkle Airport,HCA
Miley Memorial Field,BPI
Ozark Regional Airport,WMH
Southeast Texas Regional Airport,BPT
Brunswick Golden Isles Airport,BQK
Brainerd Lakes Regional Airport,BRD
Southeast Iowa Regional Airport,BRL
Brownsville South Padre Island International Airport,BRO
Samuels Field,BRY
Skypark Airport,BTF
W K Kellogg Airport,BTL
Bert Mooney Airport,BTM
Britton Municipal Airport,TTO
Pittsburgh/Butler Regional Airport,BTP
Baton Rouge Metropolitan Airport,BTR
Burlington International Airport,BTV
Beatty Airport,BTY
Cram Field,BUB
Buffalo Niagara International Airport,BUF
Butler Memorial Airport,BUM
Bob Hope Airport,BUR
Beaver County Airport,BFP
Bartlesville Municipal Airport,BVO
Skagit Regional Airport,MVW
Batesville Regional Airport,BVX
Beverly Municipal Airport,BVY
Brawley Municipal Airport,BWC
Brownwood Regional Airport,BWD
Bowling Green Warren County Regional Airport,BWG
Baltimore/Washington International Thurgood Marshall Airport,BWI
Harry Stern Airport,WAH
Bowman Regional Airport,BWM
George R Carr Memorial Air Field,BXA
Buckeye Municipal Airport,BXK
Johnson County Airport,BYG
Arkansas International Airport,BYH
Burley Municipal Airport,BYI
Bicycle Lake Army Air Field,BYS
Bay City Municipal Airport,BBC
Gallatin Field,BZN
Grand Geneva Resort Airport,XES
Plymouth Municipal Airport,PLY
New Coalinga Municipal Airport,CLG
Wexford County Airport,CAD
Columbia Metropolitan Airport,CAE
Craig Moffat Airport,CIG
Akron Canton Regional Airport,CAK
Clayton Municipal Airpark,CAO
Caribou Municipal Airport,CAR
Greater Cumberland Regional Airport,CBE
Council Bluffs Municipal Airport,CBF
Shalz Field,CBK
Columbus Air Force Base,CBM
Cable Airport,CCB
Buchanan Field,CCR
Northeast Iowa Regional Airport,CCY
Caledonia County Airport,LLX
Cedar City Regional Airport,CDC
Harrell Field,CDH
Woodward Field,CDN
Chadron Municipal Airport,CDR
Childress Municipal Airport,CDS
Essex County Airport,CDW
Cessna Aircraft Field,CEA
Jack Mc Namara Field Airport,CEC
Westover ARB/Metropolitan Airport,CEF
Oconee County Regional Airport,CEU
Mettel Field,CEV
Bob Sikes Airport,CEW
Kyle Oakley Field,CEY
Cortez Municipal Airport,CEZ
Coulter Field,CFD
Tuscola Area Airport,TZC
Greenlee County Airport,CFT
Coffeyville Municipal Airport,CFV
Cambridge Dorchester Airport,CGE
Cuyahoga County Airport,CGF
Cape Girardeau Regional Airport,CGI
College Park Airport,CGS
Casa Grande Municipal Airport,CGZ
Lovell Field,CHA
Chickasha Municipal Airport,CHK
Charlottesville Albemarle Airport,CHO
Charleston Air Force Base-International Airport,CHS
Chico Municipal Airport,CIC
The Eastern Iowa Airport,CID
Arthur N Neu Airport,CIN
Cairo Regional Airport,CIR
Chippewa County International Airport,CIU
Kegelman AF Aux Field,CKA
North Central West Virginia Airport,CKB
Grand Marais Cook County Airport,GRM
Fletcher Field,CKM
Crookston Municipal Kirkwood Field,CKN
Clarksville?›????Montgomery County Regional Airport,CKV
Chignik Lagoon Airport,KCL
Cleveland Hopkins International Airport,CLE
Clintonville Municipal Airport,CLI
Clinton Regional Airport,CLK
Easterwood Field,CLL
William R Fairchild International Airport,CLM
Cliff Hatfield Memorial Airport,CLR
Chehalis Centralia Airport,CLS
Charlotte Douglas International Airport,CLT
Clearwater Air Park,CLW
John Glenn Columbus International Airport,CMH
University of Illinois Willard Airport,CMI
Houghton County Memorial Airport,CMX
Sparta Fort Mc Coy Airport,CMY
Claremont Municipal Airport,CNH
Blosser Municipal Airport,CNK
Cavern City Air Terminal,CNM
Chino Airport,CNO
Chanute Martin Johnson Airport,CNU
TSTC Waco Airport,CNW
Canyonlands Field,CNY
Yellowstone Regional Airport,COD
Coeur D'Alene - Pappy Boyington Field,COE
Patrick Air Force Base,COF
Merritt Island Airport,COI
Coleman Municipal Airport,COM
Concord Municipal Airport,CON
City of Colorado Springs Municipal Airport,COS
Cotulla-La Salle County Airport,COT
Columbia Regional Airport,COU
Compton Woodley Airport,CPM
Casper-Natrona County International Airport,CPR
St Louis Downtown Airport,CPS
Cheraw Municipal Airport/Lynch Bellinger Field,HCW
Colorado Creek Airport,KCR
Grand Strand Airport,CRE
Jacksonville Executive at Craig Airport,CRG
Corcoran Airport,CRO
Corpus Christi International Airport,CRP
Mc Clellan-Palomar Airport,CLD
C David Campbell Field Corsicana Municipal Airport,CRS
Z M Jack Stell Field,CRT
Yeager Airport,CRW
Roscoe Turner Airport,CRX
Columbus Metropolitan Airport,CSG
Clinton Sherman Airport,CSM
Creston Municipal Airport,CSQ
Crossville Memorial Whitson Field,CSV
Cut Bank International Airport,CTB
Cross City Airport,CTY
Sampson County Airport,CTZ
Jim Hamilton L.B. Owens Airport,CUB
Cushing Municipal Airport,CUH
Cincinnati Northern Kentucky International Airport,CVG
Sharp County Regional Airport,CKK
Clovis Municipal Airport,CVN
Corvallis Municipal Airport,CVO
Cannon Air Force Base,CVS
Central Wisconsin Airport,CWA
Kickapoo Downtown Airport,KIP
Chennault International Airport,CWF
Clinton Municipal Airport,CWI
Calexico International Airport,CXL
Conroe-North Houston Regional Airport,CXO
Carson Airport,CSN
Capital City Airport,HAR
Cheyenne Regional Jerry Olson Field,CYS
Kochi Airport (???®????????????§??????),KCZ
Dimmit County Airport,CZT
Tioga Municipal Airport,VEX
